City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Barrow,71.2906,-156.7887,-18.69,98,56,15.5,US,1674622806
1,Arraial do Cabo,-22.9661,-42.0278,74.75,91,100,10.87,BR,1674622857
2,Longyearbyen,78.2186,15.6401,22.84,68,40,18.41,SJ,1674622858
3,Bow Island,49.8668,-111.3684,27.79,76,88,8.68,CA,1674622815
4,Gornopravdinsk,60.05,69.9,12.76,94,99,10.04,RU,1674622859
5,Raudeberg,61.9875,5.1352,46.96,1,100,30.11,NO,1674622859
6,Visby,57.6409,18.296,39.42,93,100,16.11,SE,1674622860
7,Broome,42.2506,-75.833,29.17,97,82,1.74,US,1674622861
8,Nikolskoye,59.7035,30.7861,31.91,93,100,9.46,RU,1674622861
9,Linxia Chengguanzhen,35.6003,103.2064,24.96,35,71,4.7,CN,1674622862
10,Hobart,-42.8794,147.3294,76.86,59,75,10.36,AU,1674622862
11,Adré,13.4667,22.2,62.17,16,93,12.37,TD,1674622863
12,Bredasdorp,-34.5322,20.0403,59.7,58,2,1.34,ZA,1674622838
13,Joshīmath,30.5667,79.5667,48.6,82,100,9.24,IN,1674622864
14,Punta Arenas,-53.15,-70.9167,51.91,50,75,19.57,CL,1674622795
15,Gorodovikovsk,46.0878,41.9335,27.52,77,6,14.12,RU,1674622865
16,Hermanus,-34.4187,19.2345,54.81,63,9,7.07,ZA,1674622865
17,Albany,42.6001,-73.9662,32.41,90,70,4.85,US,1674622835
18,Ushuaia,-54.8,-68.3,39.47,98,52,10.04,AR,1674622852
19,Puerto Ayora,-0.7393,-90.3518,75.54,95,15,6.55,EC,1674622856
20,Chui,-33.6971,-53.4616,64.15,75,69,5.5,UY,1674622625
21,Mataura,-46.1927,168.8643,68.7,48,27,7.61,NZ,1674622867
22,Saint-Philippe,-21.3585,55.7679,78.39,93,100,14.27,RE,1674622868
23,Atuona,-9.8,-139.0333,78.91,78,15,16.44,PF,1674622832
24,Busselton,-33.65,115.3333,81.75,35,1,3.69,AU,1674622842
25,Jamestown,42.097,-79.2353,28.71,62,99,1.99,US,1674622667
26,Udachny,66.4167,112.4,-38.51,100,75,2.53,RU,1674622869
27,Sheopur,25.6667,76.7,65.86,43,60,0.51,IN,1674622870
28,Rikitea,-23.1203,-134.9692,79.2,79,33,17.29,PF,1674622842
29,Tual,-5.6667,132.75,82.87,71,99,3.29,ID,1674622871
30,Hong Kong,22.2855,114.1577,59.25,66,81,8.99,HK,1674622686
31,Jiangyou,31.7667,104.7167,46.38,35,56,4.14,CN,1674622682
32,Abnūb,27.2696,31.1511,51.82,90,0,6.91,EG,1674622872
33,Hithadhoo,-0.6,73.0833,81.63,75,98,11.41,MV,1674622851
34,Ribeira Grande,38.5167,-28.7,57.78,90,10,4.0,PT,1674622872
35,East London,-33.0153,27.9116,63.54,88,75,12.66,ZA,1674622585
36,Ballina,-28.8667,153.5667,92.01,70,39,14.29,AU,1674622839
37,Sorong,-0.8833,131.25,84.65,66,100,6.33,ID,1674622873
38,Goma,-1.6792,29.2228,61.95,87,91,3.11,CD,1674622874
39,Inuvik,68.3499,-133.7218,-0.74,98,100,6.4,CA,1674622874
40,Arroyo de la Encomienda,41.6096,-4.7969,34.59,83,100,11.5,ES,1674622875
41,Vaini,-21.2,-175.2,86.16,70,20,5.75,TO,1674622542
42,Souillac,-20.5167,57.5167,73.78,94,75,3.44,MU,1674622628
43,Chunoyar,57.4467,97.3217,4.26,94,94,0.63,RU,1674622876
44,Upernavik,72.7868,-56.1549,6.82,93,100,12.46,GL,1674622877
45,Cape Town,-33.9258,18.4232,65.37,60,0,8.99,ZA,1674622800
46,Fortuna,40.5982,-124.1573,46.65,97,0,0.0,US,1674622877
47,Elko,41.0002,-115.5012,5.94,96,61,3.44,US,1674622785
48,Mykolayivka,47.5414,30.7561,28.87,87,36,7.87,UA,1674622878
49,Āsosa,10.0667,34.5333,66.74,36,49,3.69,ET,1674622878
50,Itarema,-2.9248,-39.9167,76.15,85,15,5.12,BR,1674622879
51,Kavieng,-2.5744,150.7967,83.41,68,86,6.46,PG,1674622880
52,Saint George,37.1041,-113.5841,38.95,53,0,5.75,US,1674622880
53,New Norfolk,-42.7826,147.0587,76.5,36,99,3.0,AU,1674622881
54,Labuhan,-6.8844,112.2051,84.52,72,89,10.04,ID,1674622881
55,Semey,50.4111,80.2275,16.02,86,100,15.66,KZ,1674622882
56,Zhigansk,66.7697,123.3711,-44.99,95,85,6.67,RU,1674622882
57,Ancud,-41.8697,-73.8203,52.36,85,61,4.18,CL,1674622883
58,Padang,-0.9492,100.3543,86.05,66,100,2.19,ID,1674622883
59,Bengkulu,-3.8004,102.2655,82.99,65,100,6.91,ID,1674622841
60,Nanortalik,60.1432,-45.2371,34.39,88,100,53.26,GL,1674622884
61,Itacurubí del Rosario,-24.5,-56.6833,77.74,60,74,2.3,PY,1674622885
62,Shingū,33.7333,135.9833,38.25,49,79,12.88,JP,1674622885
63,Mahébourg,-20.4081,57.7,74.25,90,100,6.85,MU,1674622886
64,São João da Barra,-21.6403,-41.0511,72.57,97,100,6.78,BR,1674622590
65,Petropavlovsk-Kamchatskiy,53.0452,158.6483,21.79,68,75,22.37,RU,1674622887
66,Toowoomba,-27.55,151.9667,85.24,48,100,1.01,AU,1674622887
67,George Town,5.4112,100.3354,84.13,84,20,8.05,MY,1674622888
68,Plettenberg Bay,-34.0527,23.3716,64.33,62,92,0.87,ZA,1674622888
69,Chokurdakh,70.6333,147.9167,-27.99,96,100,2.57,RU,1674622889
70,Roseto degli Abruzzi,42.6664,14.0227,44.1,90,100,7.07,IT,1674622889
71,Butaritari,3.0707,172.7902,81.14,79,89,17.94,KI,1674622890
72,Oranjemund,-28.55,16.4333,60.4,77,0,16.11,,1674622850
73,Rocha,-34.4833,-54.3333,63.88,66,100,6.98,UY,1674622767
74,Puri,19.8,85.85,81.12,53,6,3.51,IN,1674622891
75,Talnakh,69.4865,88.3972,-9.8,97,100,13.27,RU,1674622891
76,Shumskiy,54.8318,99.1328,14.72,66,100,2.06,RU,1674622892
77,Avarua,-21.2078,-159.775,82.45,74,20,4.61,CK,1674622611
78,Port Hedland,-20.3167,118.5667,96.85,44,72,9.22,AU,1674622893
79,Margate,51.3813,1.3862,38.89,82,64,1.99,GB,1674622787
80,Mar del Plata,-38.0023,-57.5575,66.94,73,48,11.99,AR,1674622893
81,Glubokiy,48.5217,40.3258,22.41,63,9,8.99,RU,1674622894
82,Bathsheba,13.2167,-59.5167,77.18,79,91,20.94,BB,1674622894
83,Hilo,19.7297,-155.09,74.28,94,27,1.01,US,1674622895
84,Laguna,38.421,-121.4238,49.32,85,0,0.0,US,1674622895
85,Olinda,-8.0089,-34.8553,77.72,74,7,6.15,BR,1674622896
86,Tasiilaq,65.6145,-37.6368,23.16,63,69,6.82,GL,1674622896
87,Mlowo,-9.0,32.9833,61.65,89,100,0.49,TZ,1674622897
88,Dikson,73.5069,80.5464,-1.19,93,100,27.81,RU,1674622897
89,Thompson,55.7435,-97.8558,-20.2,100,42,3.27,CA,1674622816
90,Ikom,5.9667,8.7063,70.56,97,13,1.32,NG,1674622898
91,Xining,36.6167,101.7667,29.57,12,91,4.03,CN,1674622898
92,Jijiga,9.35,42.8,64.58,42,16,1.34,ET,1674622899
93,Westport,41.1415,-73.3579,37.74,68,85,1.99,US,1674622818
94,Varna,43.2167,27.9167,33.87,88,100,6.91,BG,1674622866
95,Sauk Rapids,45.5919,-94.1661,28.22,88,75,0.0,US,1674622900
96,San Patricio,28.017,-97.5169,58.84,55,0,15.32,US,1674622900
97,Christchurch,-43.5333,172.6333,70.41,64,20,23.02,NZ,1674622806
98,Dauphin,51.1494,-100.0502,6.94,78,100,3.44,CA,1674622901
99,Jalu,29.0331,21.5482,51.17,64,0,10.42,LY,1674622902
100,Port Elizabeth,-33.918,25.5701,65.32,75,81,1.99,ZA,1674622902
101,Port Alfred,-33.5906,26.891,65.17,78,100,1.99,ZA,1674622903
102,Broken Hill,-31.95,141.4333,97.38,12,0,12.91,AU,1674622903
103,Richards Bay,-28.783,32.0377,74.12,88,94,18.41,ZA,1674622904
104,Bontang,0.1333,117.5,80.53,81,100,1.97,ID,1674622904
105,Mirassol,-20.8192,-49.5211,69.31,90,51,2.39,BR,1674622905
106,College,64.8569,-147.8028,1.8,83,99,2.08,US,1674622905
107,Trelew,-43.249,-65.3051,64.29,26,0,11.52,AR,1674622899
108,Fort Nelson,58.8053,-122.7002,21.11,94,99,1.68,CA,1674622817
109,Lebu,-37.6167,-73.65,55.94,77,0,16.13,CL,1674622618
110,Djibo,14.1022,-1.6306,74.77,18,4,6.44,BF,1674622906
111,Kaitangata,-46.2817,169.8464,63.18,75,88,5.68,NZ,1674622799
112,Anori,-3.7728,-61.6442,72.21,99,100,2.01,BR,1674622907
113,Le Port,-20.9373,55.2919,78.8,92,100,5.53,RE,1674622908
114,Torbay,47.6666,-52.7314,33.39,91,100,24.16,CA,1674622908
115,Lavrentiya,65.5833,-171.0,-15.2,91,8,13.02,RU,1674622909
116,Gwembe,-16.4975,27.6069,63.01,98,100,3.58,ZM,1674622909
117,Jerome,42.7241,-114.5186,29.68,86,0,10.36,US,1674622910
118,Emba,48.8264,58.1442,1.0,97,14,3.56,KZ,1674622910
119,Lagoa,39.05,-27.9833,59.4,85,32,20.76,PT,1674622910
120,Ilulissat,69.2167,-51.1,17.62,62,97,18.41,GL,1674622911
121,Cabo San Lucas,22.8909,-109.9124,59.61,58,86,5.68,MX,1674622618
122,Gamba,-2.65,10.0,76.57,87,100,4.32,GA,1674622828
123,Kapaa,22.0752,-159.319,69.48,84,20,4.0,US,1674622907
124,Iskandar,41.5539,69.7008,18.45,69,36,5.01,UZ,1674622912
125,Bluff,-46.6,168.3333,61.38,70,16,10.56,NZ,1674622836
126,Sabla,12.7525,4.7077,70.63,17,32,9.93,NG,1674622913
127,Galveston,29.3669,-94.9669,51.76,83,0,17.27,US,1674622913
128,Naze,28.3667,129.4833,47.14,67,98,13.87,JP,1674622914
129,Palmer,42.1584,-72.3287,33.42,82,100,9.22,US,1674622914
130,Makakilo City,21.3469,-158.0858,74.95,77,75,0.0,US,1674622915
131,Carnarvon,-24.8667,113.6333,87.13,55,1,14.74,AU,1674622915
132,Bubaque,11.2833,-15.8333,73.87,81,95,11.59,GW,1674622916
133,Ponta do Sol,32.6667,-17.1,61.43,52,5,9.57,PT,1674622916
134,Saskylakh,71.9167,114.0833,-15.65,99,100,4.41,RU,1674622917
135,Kjøllefjord,70.9457,27.3465,33.85,93,40,4.61,NO,1674622917
136,Yellowknife,62.456,-114.3525,-5.28,84,20,3.44,CA,1674622747
137,Koceljeva,44.4736,19.8117,32.38,85,99,2.77,RS,1674622918
138,Vila Velha,-20.3297,-40.2925,73.94,96,100,4.59,BR,1674622918
139,Acajutla,13.5928,-89.8275,76.1,77,16,7.11,SV,1674622919
140,Makurdi,7.7411,8.5121,75.54,23,55,3.53,NG,1674622919
141,Sambava,-14.2667,50.1667,77.56,81,91,5.7,MG,1674622919
142,Preston,53.7667,-2.7167,45.86,93,100,4.47,GB,1674622920
143,Samarai,-10.6167,150.6667,83.16,74,97,11.34,PG,1674622920
144,North Platte,41.1239,-100.7654,22.37,87,100,5.99,US,1674622816
145,Quelimane,-17.8786,36.8883,76.95,88,75,12.66,MZ,1674622921
146,Lompoc,34.6391,-120.4579,48.58,87,0,0.0,US,1674622918
147,Ust'-Charyshskaya Pristan',52.3934,83.6635,13.59,88,100,19.53,RU,1674622922
148,Airai,-8.9266,125.4092,68.4,81,100,2.51,TL,1674622923
149,Kavaratti,10.5669,72.642,78.22,81,100,15.1,IN,1674622923
150,Faanui,-16.4833,-151.75,81.48,75,100,13.96,PF,1674622924
151,Port Lincoln,-34.7333,135.8667,70.74,52,4,17.4,AU,1674622924
152,Frontera,26.9333,-101.45,50.45,18,0,3.27,MX,1674622925
153,Qaqortoq,60.7167,-46.0333,32.81,77,100,32.35,GL,1674622925
154,Kahului,20.8947,-156.47,77.85,84,37,2.15,US,1674622825
155,Ahipara,-35.1667,173.1667,71.74,58,15,13.02,NZ,1674622926
156,Khatanga,71.9667,102.5,-24.43,88,100,3.27,RU,1674622905
157,Port Hardy,50.6996,-127.4199,43.81,94,95,1.41,CA,1674622927
158,Qasigiannguit,68.8193,-51.1922,17.85,90,96,10.29,GL,1674622927
159,Mugur-Aksy,50.35,90.5,0.91,72,100,5.3,RU,1674622928
160,Amapá,1.0,-52.0,68.9,99,100,2.55,BR,1674622928
161,Lithgow,-33.4833,150.15,82.35,19,1,10.83,AU,1674622929
162,Storm Lake,42.6411,-95.2097,30.43,100,100,10.36,US,1674622930
163,Castro,-24.7911,-50.0119,60.91,90,1,3.44,BR,1674622930
164,Saint Lawrence,36.0553,14.204,49.41,56,26,9.13,MT,1674622931
165,Bereda,43.2686,-7.5406,41.41,93,100,5.73,ES,1674622931
166,Qaanaaq,77.484,-69.3632,2.84,64,92,9.31,GL,1674622932
167,Esim,4.8699,-2.2405,78.19,87,4,3.98,GH,1674622932
168,Jaisalmer,26.9147,70.9181,59.45,14,0,4.59,IN,1674622933
169,Poções,-14.5297,-40.3653,65.25,99,99,2.59,BR,1674622934
170,Tazmalt,36.3868,4.3989,39.2,97,100,1.57,DZ,1674622934
171,Hargeisa,9.56,44.065,59.45,64,7,7.87,SO,1674622935
172,San Ignacio,17.1561,-89.0714,70.84,97,78,3.6,BZ,1674622935
173,Ca Mau,9.1769,105.15,80.89,55,100,9.66,VN,1674622936
174,Saint Paul Harbor,57.79,-152.4072,36.91,100,100,5.75,US,1674622936
175,Divnomorskoye,44.5011,38.1353,39.47,60,0,5.53,RU,1674622937
176,Pahrump,36.2083,-115.9839,48.43,38,0,10.0,US,1674622708
177,Baláo,-2.9167,-79.8167,76.05,80,62,3.24,EC,1674622938
178,Meulaboh,4.1363,96.1285,84.29,66,53,9.33,ID,1674622938
179,Umluj,25.0213,37.2685,69.76,66,0,4.18,SA,1674622937
180,Tuktoyaktuk,69.4541,-133.0374,-6.0,98,100,9.42,CA,1674622939
181,Henties Bay,-22.116,14.2845,64.29,86,66,6.76,,1674622940
182,Port-Cartier,50.0334,-66.8654,4.28,78,2,16.26,CA,1674622940
183,Lago da Pedra,-4.3333,-45.1667,71.6,98,92,3.42,BR,1674622941
184,Hirado,33.3597,129.5531,32.85,57,80,12.35,JP,1674622942
185,Sandpoint,48.2766,-116.5533,30.02,91,100,0.0,US,1674622942
186,Fleetwood,53.9253,-3.0109,45.05,97,100,12.3,GB,1674622943
187,Lebanon,36.2081,-86.2911,46.45,72,100,3.44,US,1674622814
188,Neuquén,-38.9516,-68.0591,68.56,24,14,9.22,AR,1674622834
189,Huntsville,34.7304,-86.5861,49.55,70,100,8.99,US,1674622737
190,Tutóia,-2.7619,-42.2744,76.23,88,99,6.98,BR,1674622944
191,Ust-Nera,64.5667,143.2,-29.61,96,97,1.57,RU,1674622792
192,Lorengau,-2.0226,147.2712,82.51,72,87,6.82,PG,1674622843
193,Saint-Joseph,-21.3667,55.6167,77.38,92,100,9.75,RE,1674622945
194,Östersund,63.1792,14.6357,43.25,75,100,11.5,SE,1674622946
195,Kamenka,51.3223,42.7678,13.39,88,13,4.76,RU,1674622837
196,Fairbanks,64.8378,-147.7164,1.81,83,98,1.86,US,1674622804
197,Siirt,37.9326,41.9403,26.74,93,75,0.0,TR,1674622947
198,Mossamedes,-15.1961,12.1522,74.05,84,58,1.63,AO,1674622947
199,Vanavara,60.34,102.2797,-27.49,94,99,2.86,RU,1674622948
200,Francavilla al Mare,42.4206,14.287,46.09,94,75,5.75,IT,1674622948
201,Kastamonu Province,41.5,33.6667,35.51,65,100,1.14,TR,1674622949
202,Coquimbo,-29.9533,-71.3436,66.45,82,2,2.86,CL,1674622949
203,Dāmghān,36.1683,54.348,29.3,49,0,0.92,IR,1674622950
204,Cherskiy,68.75,161.3,-22.52,96,100,0.58,RU,1674622950
205,Riachão das Neves,-11.7461,-44.91,71.67,83,74,3.65,BR,1674622951
206,Merauke,-8.4667,140.3333,84.0,72,82,8.7,ID,1674622951
207,Griffith,41.5284,-87.4237,33.06,91,100,4.61,US,1674622952
208,Adrar,20.5022,-10.0711,62.22,20,8,8.1,MR,1674622952
209,Bairiki Village,1.3292,172.9752,81.34,81,20,16.31,KI,1674622953
210,Departamento de Maldonado,-34.6667,-54.9167,74.23,53,96,7.99,UY,1674622896
211,Waipawa,-41.4122,175.5153,65.59,75,62,9.44,NZ,1674622954
212,Yangi Marg`ilon,40.4272,71.7189,25.52,74,100,2.3,UZ,1674622954
213,Provideniya,64.3833,-173.3,-6.7,76,1,11.52,RU,1674622856
214,Ocampo,21.65,-101.5,48.87,35,1,7.67,MX,1674622955
215,Frankfort,-27.2667,28.4833,65.35,67,4,14.9,ZA,1674622732
216,Senanga,-16.1167,23.2667,64.98,96,100,3.09,ZM,1674622937
217,Belozërskoye,55.8214,65.5842,14.56,86,65,11.9,RU,1674622956
218,Gambēla,8.25,34.5833,79.95,32,24,2.95,ET,1674622956
219,Salalah,17.0151,54.0924,72.59,66,51,8.97,OM,1674622957
220,Esperance,-33.8667,121.9,70.3,67,7,15.9,AU,1674622957
221,Almaznyy,48.0448,40.045,23.99,58,7,8.77,RU,1674622958
222,Beira,-19.8436,34.8389,78.12,87,79,8.57,MZ,1674622958
223,Santa Helena,-2.2311,-45.3,71.42,99,80,2.21,BR,1674622959
224,Roald,62.5833,6.1333,50.32,87,75,31.07,NO,1674622959
225,Charters Towers,-20.1,146.2667,91.76,39,77,12.06,AU,1674622960
226,Iquitos,-3.7481,-73.2472,71.11,99,59,2.13,PE,1674622960
227,Healdsburg,38.6105,-122.8692,50.16,82,0,0.0,US,1674622836
228,Isangel,-19.55,169.2667,85.39,72,21,7.74,VU,1674622961
229,Sitka,57.0531,-135.33,44.24,97,100,7.78,US,1674622962
230,Stornoway,58.2093,-6.3865,46.36,85,75,14.97,GB,1674622962
231,General Roca,-39.0333,-67.5833,65.62,20,2,6.51,AR,1674622962
232,Salinas,36.6777,-121.6555,51.06,67,0,0.0,US,1674622910
233,Woodward,36.4337,-99.3904,31.23,96,100,8.05,US,1674622963
234,Port Blair,11.6667,92.75,82.44,78,100,10.36,IN,1674622963
235,Leningradskiy,69.3833,178.4167,-24.2,93,19,8.63,RU,1674622964
236,Severo-Kuril'sk,50.6789,156.125,28.17,95,100,69.39,RU,1674622846
237,Tiksi,71.6872,128.8694,-37.23,98,52,8.32,RU,1674622965
238,Antofagasta,-23.65,-70.4,68.41,85,74,2.71,CL,1674622811
239,Beringovskiy,63.05,179.3167,-12.17,95,89,13.33,RU,1674622965
240,Prince Rupert,54.3161,-130.3201,44.69,100,100,10.36,CA,1674622966
241,Concordia,-31.393,-58.0209,78.89,27,46,4.74,AR,1674622966
242,Mirny,62.5353,113.9611,-28.77,67,98,1.83,RU,1674622967
243,Saldanha,-33.0117,17.9442,62.31,65,0,18.88,ZA,1674622967
244,Darhan,49.4867,105.9228,-9.47,80,63,3.18,MN,1674622968
245,Cayenne,4.9333,-52.3333,69.84,94,40,0.0,GF,1674622968
246,Salinópolis,-0.6136,-47.3561,75.97,88,100,8.48,BR,1674622969
247,Nhulunbuy,-12.2333,136.7667,83.01,78,75,4.61,AU,1674622838
248,Koumac,-20.5667,164.2833,83.28,73,44,3.36,NC,1674622969
249,Kinsale,51.7075,-8.5306,47.57,100,75,4.61,IE,1674622970
250,Shimoda,34.6667,138.95,39.11,38,52,22.46,JP,1674622949
251,Dingle,10.9995,122.6711,80.65,75,49,19.15,PH,1674622970
252,Gubkinskiy,64.434,76.5026,3.36,96,100,16.75,RU,1674622971
253,Norman Wells,65.282,-126.8329,-7.55,98,80,2.04,CA,1674622971
254,Saint-François,46.4154,3.9054,36.84,81,100,5.75,FR,1674622929
255,São Filipe,14.8961,-24.4956,69.84,70,97,6.62,CV,1674622972
256,Cumana,10.4635,-64.1775,73.08,82,41,9.51,VE,1674622972
257,Clyde River,70.4692,-68.5914,-18.17,69,100,4.61,CA,1674622850
258,Nuuk,64.1835,-51.7216,22.06,77,100,13.06,GL,1674622973
259,Srednekolymsk,67.45,153.6833,-20.97,92,100,4.18,RU,1674622974
260,Pangnirtung,66.1451,-65.7125,-1.43,98,100,4.72,CA,1674622974
261,Vila Franca do Campo,37.7167,-25.4333,55.81,82,72,13.82,PT,1674622974
262,Terney,45.0503,136.6092,-1.62,65,8,20.45,RU,1674622975
263,Cairns,-16.9167,145.7667,96.06,55,64,12.66,AU,1674622975
264,Alcúdia,39.8532,3.1214,47.37,74,90,19.37,ES,1674622976
265,Florianópolis,-27.6146,-48.5012,76.23,94,20,3.44,BR,1674622737
266,Bambous Virieux,-20.3428,57.7575,74.21,91,100,6.89,MU,1674622851
267,Langsa,4.4683,97.9683,77.23,87,100,1.1,ID,1674622977
268,Machico,32.7,-16.7667,61.43,68,75,20.71,PT,1674622977
269,Churapcha,62.0025,132.4325,-39.06,93,100,1.52,RU,1674622978
270,Mount Isa,-20.7333,139.5,94.77,34,40,11.5,AU,1674622978
271,Sept-Îles,50.2001,-66.3821,12.72,55,20,18.41,CA,1674622725
272,Cockburn Town,21.4612,-71.1419,77.05,74,0,18.97,TC,1674622979
273,San-Pédro,4.7485,-6.6363,75.96,93,56,4.09,CI,1674622887
274,Venado Tuerto,-33.7456,-61.9688,70.77,59,21,8.08,AR,1674622979
275,Hamadan,34.7992,48.5146,22.37,90,90,2.59,IR,1674622980
276,Waingapu,-9.6567,120.2641,84.61,65,90,4.72,ID,1674622980
277,Zyryanka,65.75,150.85,-19.79,98,100,1.43,RU,1674622981
278,Nemuro,43.3236,145.575,14.63,60,56,28.16,JP,1674622981
279,Sur,22.5667,59.5289,68.07,40,3,9.01,OM,1674622845
280,Pangoa,-12.1167,-73.0,67.33,99,94,1.99,PE,1674622982
281,Rio Grande,-32.035,-52.0986,70.03,76,15,7.7,BR,1674622983
282,Little Current,45.9793,-81.9248,27.41,88,95,4.0,CA,1674622734
283,Manokwari,-0.8667,134.0833,83.34,71,95,9.62,ID,1674622984
284,Ambilobe,-13.2,49.05,77.32,89,69,1.16,MG,1674622984
285,Andenes,69.3143,16.1194,33.78,86,75,4.61,NO,1674622985
286,Tumen,42.9661,129.8425,9.91,41,76,13.4,CN,1674622985
287,Flinders,-34.5833,150.8552,77.25,67,5,10.54,AU,1674622986
